# Description: This file is for creating figure.
# This file is generated by program. Do not change the contain of file!.
#
#[srcIpAddress,dstIpAddress,dstPort,Protocol]-label-x-y 
('147.32.84.165', '66.197.230.37', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '81.177.26.77', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '80.253.16.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '74.125.113.27', '25', 'tcp')<<<MALWARE<<<230<<<0
('147.32.84.165', '67.231.152.37', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.176.232.101', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '194.190.209.39', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '62.112.147.153', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.188.127.206', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '82.140.82.140', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '156.154.103.3', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '192.36.135.107', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.79', '147.32.84.165', '161', 'udp')<<<NORMAL<<<4<<<0
('147.32.84.165', '94.229.78.46', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '158.250.26.66', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '88.198.54.6', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '81.222.136.194', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '91.219.194.11', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '205.178.149.7', '25', 'tcp')<<<MALWARE<<<24<<<0
('147.32.84.165', '94.245.116.13', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '204.232.236.151', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '79.171.22.227', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '207.126.144.252', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.199.212.100', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.236.212.138', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '118.23.109.73', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.176.68.110', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '83.69.229.4', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.7.220.156', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '204.232.236.252', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '194.0.17.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '46.39.224.100', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '109.70.26.36', '53', 'udp')<<<MALWARE<<<10<<<0
('147.32.84.165', '222.227.75.45', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '216.89.74.55', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '64.12.90.34', '25', 'tcp')<<<MALWARE<<<22<<<0
('147.32.84.165', '212.42.162.3', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '85.28.195.129', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '91.201.74.146', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '62.178.214.33', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '95.64.43.62', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '202.3.225.23', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.145.85.120', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '77.222.40.2', '53', 'udp')<<<MALWARE<<<45<<<0
('147.32.84.165', '101.0.32.121', '6667', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '182.2.117.2', '3128', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.170.48.103', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '67.19.72.206', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '41.212.41.40', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '94.236.95.170', '80', 'tcp')<<<NORMAL<<<1<<<0
('147.32.84.165', '78.138.22.163', '6667', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '91.192.72.162', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '210.211.186.114', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '195.35.82.101', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '194.54.81.70', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '213.138.192.189', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.252.22.142', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '203.252.3.229', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.130.137.67', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '212.72.224.9', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.34.4.225', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.118.142.89', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '216.82.250.99', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '64.56.216.40', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '213.248.57.132', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.59.117.29', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '190.122.143.202', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '82.147.38.106', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '62.24.139.61', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '94.100.28.114', '9381', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '93.170.49.40', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '213.171.4.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '60.249.196.250', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '80.240.95.30', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '75.150.112.115', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.219.194.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.125.252.68', '6667', 'tcp')<<<MALWARE<<<13<<<0
('147.32.84.165', '160.114.120.249', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '212.38.97.175', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '217.16.195.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '65.245.57.15', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '117.53.114.15', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '77.234.201.212', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '173.212.197.124', '53', 'udp')<<<MALWARE<<<28<<<0
('147.32.84.165', '111.92.142.42', '6667', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '72.55.148.184', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.109.101.113', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '74.119.195.154', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '204.127.217.16', '25', 'tcp')<<<MALWARE<<<30<<<0
('147.32.84.165', '213.79.89.218', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '188.120.228.95', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '134.176.2.5', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '83.149.23.163', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '98.124.196.1', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '199.217.10.203', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '112.200.131.200', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '208.110.202.224', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '95.211.21.92', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.174.104.171', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '194.135.30.121', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.54.2.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '91.226.92.20', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '64.66.238.254', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '90.157.0.4', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '78.111.81.140', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '95.163.15.194', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '217.71.231.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.113.232.91', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.74.78.47', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '203.175.185.16', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '91.217.21.150', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '61.177.120.254', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '192.92.129.99', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '199.107.64.221', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '86.57.246.186', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '213.208.181.166', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '167.138.239.79', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.58.27.158', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.204.201.219', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '87.249.45.242', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '194.58.155.5', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '77.221.148.163', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '150.228.43.61', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '62.149.128.68', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '203.119.49.201', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '74.122.245.36', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '206.186.120.17', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '46.4.24.50', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '195.24.65.7', '53', 'udp')<<<MALWARE<<<45<<<0
('147.32.84.165', '195.228.66.7', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.120.41.59', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.123.23.184', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '188.64.112.5', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '92.240.70.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '94.137.182.140', '3128', 'tcp')<<<MALWARE<<<2<<<0
('178.123.29.226', '147.32.84.165', '1477', 'tcp')<<<NORMAL<<<3<<<0
('147.32.84.165', '84.229.67.56', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '206.125.40.130', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '68.67.185.212', '80', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '15.203.224.14', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '65.54.186.47', '443', 'tcp')<<<MALWARE<<<1<<<1
('147.32.84.165', '194.44.61.65', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '195.113.232.88', '80', 'tcp')<<<MALWARE<<<26<<<0
('147.32.84.165', '180.242.10.201', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.125.143.57', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.108.109.106', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '168.95.6.65', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '213.132.77.46', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '183.83.68.80', '6667', 'tcp')<<<MALWARE<<<7<<<0
('147.32.84.165', '195.248.234.145', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '198.94.221.66', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '93.158.134.213', '53', 'udp')<<<MALWARE<<<17<<<0
('147.32.84.165', '80.78.247.142', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '194.44.214.32', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '81.18.138.65', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '77.127.110.198', '3128', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.95.134.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.228.163.103', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '78.47.82.126', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '74.6.140.64', '25', 'tcp')<<<MALWARE<<<34<<<0
('147.32.84.165', '81.91.161.99', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '67.23.231.68', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '207.115.36.22', '25', 'tcp')<<<MALWARE<<<72<<<0
('147.32.84.165', '201.131.252.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '83.222.5.165', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '221.158.173.198', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '202.179.178.24', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '65.54.165.139', '443', 'tcp')<<<MALWARE<<<4<<<4
('147.32.84.165', '188.40.60.230', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.92.165.14', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '91.197.129.38', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '62.177.218.114', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '147.32.84.255', '138', 'udp')<<<NORMAL<<<39<<<0
('147.32.84.165', '209.85.149.121', '53', 'udp')<<<MALWARE<<<7<<<0
('147.32.84.165', '85.130.81.228', '6667', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '77.222.41.3', '53', 'udp')<<<MALWARE<<<42<<<0
('147.32.84.165', '195.248.234.219', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '130.239.5.114', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '188.127.236.4', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '62.183.66.246', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '66.241.143.133', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '85.93.129.3', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '199.7.69.1', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '80.207.73.84', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '85.249.229.194', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '82.138.17.133', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '130.94.124.172', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '77.222.41.36', '25', 'tcp')<<<MALWARE<<<42<<<0
('147.32.84.165', '64.136.52.37', '25', 'tcp')<<<MALWARE<<<24<<<0
('147.32.84.165', '210.83.81.148', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.40.253.34', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '216.237.219.199', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '80.92.65.2', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '115.98.214.212', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '216.33.127.20', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '213.174.1.227', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '128.32.136.3', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '95.167.71.209', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.63.21.201', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '65.254.254.51', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '209.86.93.229', '25', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '203.200.75.211', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '83.137.221.180', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '117.197.27.8', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '57.73.127.194', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '202.54.110.181', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '186.92.63.171', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '217.28.206.67', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.0.12.215', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '208.43.150.234', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '188.120.33.53', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '168.95.6.57', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '67.214.158.5', '80', 'tcp')<<<MALWARE<<<32<<<0
('147.32.84.165', '64.18.7.10', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '209.240.204.25', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '89.108.109.35', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '92.53.116.200', '53', 'udp')<<<MALWARE<<<21<<<0
('147.32.84.165', '61.167.116.133', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '75.180.132.243', '25', 'tcp')<<<MALWARE<<<20<<<0
('147.32.84.165', '41.233.20.42', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '64.191.69.108', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '82.227.106.170', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '83.211.221.197', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '212.48.128.152', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '41.221.75.228', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '80.77.94.3', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '62.75.192.97', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '206.77.1.236', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '81.177.27.77', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '98.129.185.3', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '195.62.63.241', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.182.72.237', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.54.214.244', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '64.46.45.27', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '188.143.164.2', '25', 'tcp')<<<MALWARE<<<10<<<0
('147.32.84.165', '206.54.145.17', '25', 'tcp')<<<MALWARE<<<6<<<0
('201.217.51.166', '147.32.84.165', '4899', 'tcp')<<<NORMAL<<<3<<<0
('147.32.84.165', '213.141.147.157', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '156.154.128.65', '53', 'udp')<<<MALWARE<<<7<<<0
('147.32.84.165', '92.46.218.192', '6667', 'tcp')<<<MALWARE<<<5<<<0
('147.32.84.165', '200.175.8.148', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '82.135.18.56', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '68.142.202.129', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '81.2.199.68', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '204.58.244.10', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '93.116.154.250', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '213.165.64.100', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '46.4.15.18', '53', 'udp')<<<MALWARE<<<2<<<0
('91.219.194.250', '147.32.84.165', '3', 'icmp')<<<NORMAL<<<1<<<0
('147.32.84.165', '212.109.195.18', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.231.249.35', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '62.73.4.12', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '217.16.20.30', '53', 'udp')<<<MALWARE<<<37<<<0
('147.32.84.165', '208.84.65.76', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '109.70.26.36', '25', 'tcp')<<<MALWARE<<<12<<<0
('147.32.84.165', '216.8.161.238', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '93.174.128.32', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '128.119.103.10', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '193.95.141.41', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '89.108.67.8', '25', 'tcp')<<<MALWARE<<<13<<<0
('147.32.84.165', '193.125.99.1', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '216.82.242.229', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '99.49.210.97', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '80.93.56.171', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '216.82.241.195', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '95.172.94.49', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '195.244.170.253', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '194.226.127.210', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '193.232.146.170', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '72.249.19.141', '25', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.208.147.185', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '46.4.101.246', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '41.223.57.74', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '193.232.142.17', '53', 'udp')<<<MALWARE<<<98<<<0
('147.32.84.165', '50.22.60.162', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '66.175.58.43', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '81.25.161.2', '53', 'udp')<<<MALWARE<<<3<<<0
('147.32.84.165', '85.17.228.48', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '210.8.231.6', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '88.214.230.3', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '212.152.36.178', '53', 'udp')<<<MALWARE<<<1<<<0
('212.42.96.75', '147.32.84.165', '1', 'icmp')<<<NORMAL<<<1<<<0
('147.32.84.165', '77.221.128.106', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '165.21.74.113', '25', 'tcp')<<<MALWARE<<<8<<<0
('147.32.84.165', '79.140.237.191', '3128', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '80.98.120.34', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '121.31.253.12', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '92.47.5.149', '6667', 'tcp')<<<MALWARE<<<9<<<0
('147.32.84.165', '62.109.189.240', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '78.111.80.156', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '78.110.166.110', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '91.206.226.10', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '192.109.148.32', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '216.239.34.18', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '119.160.247.124', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '78.110.50.120', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '77.238.167.32', '80', 'tcp')<<<MALWARE<<<13<<<0
('147.32.84.165', '87.255.0.226', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '65.49.35.216', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '213.83.63.221', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '77.221.159.237', '53', 'udp')<<<MALWARE<<<30<<<0
('147.32.84.165', '90.156.148.46', '25', 'tcp')<<<MALWARE<<<6<<<0
('66.223.40.121', '147.32.84.165', '3', 'icmp')<<<NORMAL<<<1<<<0
('147.32.84.165', '156.154.102.3', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '147.108.253.152', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '203.200.75.221', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '178.218.212.130', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '216.17.3.48', '25', 'tcp')<<<MALWARE<<<14<<<0
('147.32.84.165', '119.154.70.142', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '188.120.35.52', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '178.137.7.22', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '213.248.1.6', '53', 'udp')<<<MALWARE<<<2<<<0
('147.32.84.165', '88.212.221.4', '53', 'udp')<<<MALWARE<<<5<<<0
('147.32.84.165', '178.208.80.59', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '78.47.149.170', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '199.212.0.73', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '121.245.3.131', '6667', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '213.219.240.23', '53', 'udp')<<<MALWARE<<<1<<<0
